taxonomy_id	name	rank	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
238749	Diaphorobacter	genus	7799	6273	28913	56817	11989
1727	Corynebacterium variabile	species	119	24	127	29	11
33039	[Ruminococcus] torques	species	578	253	557	955	20
119060	Burkholderiaceae	family	66037	71408	61577	7640	30827
3346466	Streptomyces sp. NPDC058374	species	851	432	928	1347	364
53437	Nocardiopsis alba	species	2	1	3	1	11
2897176	Aquaspirillaceae	family	462	5433	6262	1344	5386
3122049	Microbacterium istanbulense	species	813	156	386	1181	78
626940	Phascolarctobacterium succinatutens	species	4399	4036	7281	5037	315
142586	Eubacterium sp.	species	740	415	927	1726	31
3042152	Tsuneonella sp. CC-YZS046	species	437	137	228	250	112
83766	Propionivibrio	genus	7172	60197	50814	5830	4736
3396164	Chryseobacterium sp. DT-3	species	8031	169	921	41	44
2058346	Chryseobacterium lacus	species	418	268	328	1202	540
2316020	Mediterraneibacter	genus	26828	7157	14925	22614	338
41297	Sphingomonadaceae	family	1024	1341	1561	1235	36515
745369	Acetoanaerobium noterae	species	13499	2772	7367	7487	370
203491	Fusobacteriales	order	52658	15033	12178	29885	877
168471	Laribacter hongkongensis	species	1072	8286	10274	1453	871
2808963	Arcobacteraceae	family	28323	312428	160913	139499	16869
470	Acinetobacter baumannii	species	9584	4069	6739	67795	21320
2621329	unclassified Brachymonas	no rank	2788	1933	14974	522	9665
261299	Intestinibacter bartlettii	species	8540	5375	10059	7179	239
2172	Methanobrevibacter	genus	55423	20896	68862	52227	2171
1763	Mycobacterium	genus	806	511	477	108	373
1085622	Propioniciclava	genus	2117	313	3848	2869	470
28050	Lachnospira	genus	4308	6671	9057	29835	273
2049	Actinomycetaceae	family	4917	1900	15114	7173	518
497	Psychrobacter	genus	25113	9384	16577	102191	347284
200795	Chloroflexota	phylum	1168	1115	1878	585	2978
1683	Bifidobacterium angulatum	species	102	13	34	218	3
2843308	Pleomorphomonadaceae	family	2314	1947	1867	640	803
181070	Proteocatella sphenisci	species	13724	2956	4816	39742	1445
102106	Collinsella	genus	39800	13567	19113	19811	722
207244	Anaerostipes	genus	25569	4191	14417	36171	338
3064195	Brotocaccenecus cirricatena	species	10243	2677	4683	4944	224
2623750	unclassified Neisseria	no rank	1953	272	560	287	76
573	Klebsiella pneumoniae	species	12232	10985	12715	22590	32444
1006576	Defluviitoga tunisiensis	species	2133	3	8	4	10
128827	Erysipelotrichaceae	family	4496	1949	4388	3216	417
29543	Pelobacter propionicus	species	40	111	505	83	48
1851019	Larsenimonas suaedae	species	96	30	71	38	25
254247	Aquicella siphonis	species	73	60	75	8	17
493	Neisseria canis	species	252	25	44	13	4
1432052	Eisenbergiella tayi	species	2922	1245	3174	2046	169
286	Pseudomonas	genus	49750	26245	24277	35364	1967820
2109914	Ottowia oryzae	species	23813	1333	1245	8817	14508
141948	Thermomonas	genus	19842	35473	35756	10216	35715
1471398	Prolixibacteraceae	family	506	4974	2817	777	1952
1307	Streptococcus suis	species	7207	146	9624	861	146
42895	Enterobacter sp.	species	11012	132	192	70	593
526525	Erysipelotrichales	order	12777	4168	9271	9544	248
487173	Dialister succinatiphilus	species	2839	1610	3762	2818	61
33025	Phascolarctobacterium faecium	species	2949	4676	7517	2878	489
343874	Empedobacter falsenii	species	217	91	138	2192	1716
82802	Trichococcus	genus	13013	4584	6552	1143593	6940
74426	Collinsella aerofaciens	species	2603	878	1288	1207	47
1300	Streptococcaceae	family	12248	1042	19993	16863	880
2872646	Caenibius sp. WL	species	1461	586	531	1764	1709
186817	Bacillaceae	family	3811	1784	2651	4239	750
47671	Lautropia mirabilis	species	156	199	234	434	9
32067	Leptotrichia	genus	39376	10512	10548	18718	624
293387	Bacillus altitudinis	species	703	46	112	395	13
2606638	Bullifex porci	species	115	106	102	160	8
39486	Dorea formicigenerans	species	1415	578	1134	1269	24
1547922	Piscinibacter sakaiensis	species	33	53	56	34	25
299568	Uruburuella	genus	33342	3820	14463	27696	604
1494461	Pseudolactococcus laudensis	species	75	57	212	968	52
40323	Stenotrophomonas	genus	14965	9069	11798	20708	786374
32003	Nitrosomonadales	order	290	1430	1128	266	1393
1268622	Acidovorax sp. MR-S7	species	230	266	493	405	157
1400857	Candidatus Competibacteraceae	family	1965	4022	9201	1016	4274
2292441	Paratractidigestivibacter faecalis	species	3148	588	835	748	39
2892396	Vescimonas	genus	21240	12763	17114	13062	431
1434006	Fretibacterium	genus	1122	1526	1477	211	459
34062	Faucicola osloensis	species	14019	1216	6098	3643	21747
2070686	Enteroscipio rubneri	species	126	38	57	70	5
1624	Ligilactobacillus salivarius	species	137	175	497	153	10
2809020	Paralysiella testudinis	species	10003	3398	2981	5330	842
1872635	Arenimonas sp.	species	155	310	407	544	220
1988031	Candidatus Promineifilum	genus	474	132	626	186	176
2810280	Coprobacillaceae	family	46564	9248	23599	40088	438
85413	Bosea	genus	13928	2257	9071	16483	3173
1930784	Aurantimicrobium sp.	species	6140	2822	4876	6885	237
2763028	Blautia intestinalis	species	116	71	112	71	1
1843490	Sporomusaceae	family	5530	33178	46764	9826	17005
1501226	Romboutsia	genus	5123	1312	3542	5803	58
3038924	Methylobacterium sp. 391_Methyba4	species	3	1	1	0	0
375288	Parabacteroides	genus	3792	12843	11812	10854	8521
125216	Roseomonas	genus	1531	1943	2206	919	2428
2795103	Aquitalea sp. ASV11	species	25	31	25	0	8
299308	Methanofollis formosanus	species	2	1	2	0	0
2487017	Ancylomarina longa	species	5	35	13	123	17
2691889	unclassified Schaalia	no rank	5372	1096	954	15583	283
1965304	Intestinibacter sp.	species	6035	3497	7229	3859	388
99286	Flavobacterium frigidarium	species	37	55	50	460	288
85007	Mycobacteriales	order	2875	2043	2548	883	2076
20	Phenylobacterium	genus	26573	22397	15396	13021	46449
1384487	Formosimonas limnophila	species	9264	9156	7967	1617	3728
68336	Bacteroidota/Chlorobiota group	clade	3125	6637	6232	5094	21020
909932	Negativicutes	class	32634	108898	122887	54810	43622
543314	Anaerovoracaceae	family	2619	1638	3057	1738	371
648995	Agrobacterium pusense	species	146	49	100	152	68
420404	Epilithonimonas hominis	species	380	193	320	461	932
259322	uncultured Chryseobacterium sp.	species	2602	616	1403	364	1123
670	Vibrio parahaemolyticus	species	812	617	880	994	7645
2570193	Dechloromonas sp. H13	species	429	1272	740	361	693
239745	uncultured Desulfobulbus sp.	species	17685	99141	95553	18385	7050
46228	[Ruminococcus] lactaris	species	1929	739	2027	2701	54
3092156	Coraliomargarita algicola	species	5	30	39	8	9
59620	uncultured Clostridium sp.	species	5566	3975	5809	6445	416
1872629	Arcobacter sp.	species	113	1256	486	523	240
2763063	Roseburia yibonii	species	500	767	1386	422	10
2015802	Simplicispira sp.	species	250	362	362	1121	96
76892	Caulobacteraceae	family	6536	6219	4927	9518	31552
357	Agrobacterium	genus	199	95	161	207	236
379	Rhizobium	genus	863	594	998	929	610
2796366	Comamonas fluminis	species	1864	2024	189	1631	566
1161	Nostocales	order	114	205	292	78	107
2049022	Catenibacterium sp.	species	13917	10076	16810	5955	501
31977	Veillonellaceae	family	14794	12805	18861	21077	1993
2635829	unclassified Clostridioides	no rank	18	15	18	62	10
84999	Coriobacteriales	order	12401	4034	6683	6811	933
2601066	Acinetobacter sp. YH12070	species	64	11	15	218	93
2714925	Diaphorobacter sp. HDW4B	species	1924	567	340	4617	1703
206389	Rhodocyclales	order	10729	40462	52174	9168	14431
118882	Brucellaceae	family	2127	136	393	2464	722
191303	Turicibacter	genus	1606	1816	4046	2583	32
337004	Microcella	genus	130	161	202	119	40
2767075	Trebonia sp.	species	5	12	11	11	2
895	Desulfobulbus sp.	species	743	1563	3319	316	226
147206	Collinsella stercoris	species	158	22	84	94	8
52225	Mitsuokella	genus	5003	2938	26432	20807	1693
2944200	Lentihominibacter	genus	1842	687	1158	934	44
2645081	unclassified Ottowia	no rank	2676	1384	1273	7051	1257
100886	Catenibacterium mitsuokai	species	1292	158	474	1075	5
3350256	Comamonas trifloxystrobinivorans	species	7411	5465	1267	4307	26257
3032125	Neopoerus faecalis	species	83	103	105	240	9
553	Pantoea ananatis	species	34	34	48	52	476
1986204	Candidatus Brevifilum fermentans	species	298	258	432	98	642
2781599	Streptococcus oriscaviae	species	1250	5	115	23	4
2981655	Gallintestinimicrobium sp.	species	6968	3156	9617	3143	77
2049027	Gemmiger sp.	species	4531	2336	4329	4341	120
3085642	Butyricicoccaceae	family	1275	1566	1975	9471	138
49546	Flavobacteriaceae	family	26518	14981	22084	108443	861015
189685	uncultured Paracoccus sp.	species	226	106	297	662	55
3438785	Gallicola sp. Sow4_E12	species	842	277	622	287	180
1871047	Chryseobacterium sp.	species	1307	454	443	786	3133
2981788	Dorea ammoniilytica	species	45	31	42	43	1
2026721	Candidatus Thioglobus sp.	species	18	11	14	13	6
74201	Verrucomicrobiota	phylum	1908	3563	5124	1629	2059
970	Selenomonas	genus	2453	3684	14119	3638	5460
50421	Rhodoferax sp.	species	1334	2489	2620	4427	872
1686	Bifidobacterium catenulatum	species	206	115	160	204	6
213121	Desulfobulbaceae	family	14157	17233	31312	4034	1730
2758575	Schaalia sp. JY-X159	species	360	76	155	880	21
508459	Cloacibacillus	genus	2091	1623	5069	728	2670
1572763	Moheibacter	genus	2246	286	744	566	149
