taxonomy_id	name	rank	AUS.18a_ERR1713333_db8	AUS.18_ERR1713332_db8	BRA.53_ERR1713336_db8	BWA.19_ERR1713338_db8	CAN.22a_ERR1713340_db8	CAN.22_ERR1713339_db8	CAN.22b_ERR1713341_db8	CHE.67_ERR1713343_db8	DEU.27_ERR1713348_db8	FIN.25_ERR1713356_db8	ECU.14a_ERR1713353_db8	ESP.75_ERR1713354_db8	IRN.12_ERR1713364_db8	HRV.68_ERR1713360_db8	ISR.29_ERR1713366_db8	ISL.28_ERR1713365_db8	HUN.61_ERR1713361_db8	LVA.31_ERR1713373_db8	MKD.62_ERR1713375_db8	MLT.63_ERR1713376_db8	NLD.43_ERR1713379_db8	MYS.54_ERR1713377_db8	SGP.52_ERR1713387_db8	POL.36_ERR1713383_db8	TCD.1_ERR1713393_db8	USA.74g_ERR1713404_db8	USA.74f_ERR1713403_db8	AUT.70_ERR1713334_db8	CIV.13_ERR1713345_db8	COL.2_ERR1713346_db8	CZE.23_ERR1713347_db8	BGR.66_ERR1713335_db8	ALB.17_ERR1713331_db8	BRA.53a_ERR1713337_db8	CAN.22c_ERR1713342_db8	DNK.71_RL_ERR1713351_db8	DNK.71_RD_ERR1713350_db8	GEO.59_ERR1713357_db8	DNK.71_RA_ERR1713349_db8	IND.11_ERR1713362_db8	CHN.64_ERR1713344_db8	ETH.24_ERR1713355_db8	GHA.4_ERR1713358_db8	IRL.69_ERR1713363_db8	KEN.72_ERR1713369_db8	KAZ.6_ERR1713368_db8	KHM.21_ERR1713370_db8	MDA.65_ERR1713374_db8	NGA.50_ERR1713378_db8	LUX.32_ERR1713372_db8	NOR.34_ERR1713380_db8	ITA.30_ERR1713367_db8	LKA.40_ERR1713371_db8	NPL.33_ERR1713381_db8	SEN.8_ERR1713386_db8	PAK.7_ERR1713384_db8	PER.35_ERR1713385_db8	SVK.9_ERR1713389_db8	SRB.37_ERR1713388_db8	SWE.41_ERR1713391_db8	SWE.41a_ERR1713392_db8	SVN.38_ERR1713390_db8	TUR.46_ERR1713395_db8	USA.74b_ERR1713399_db8	USA.74a_ERR1713398_db8	USA.74c_ERR1713400_db8	USA.74_ERR1713397_db8	USA.74e_ERR1713402_db8	USA.74d_ERR1713401_db8	USA.74i_ERR1713406_db8	ZMB.49_ERR1713410_db8	ZMB.49b_ERR1713411_db8	XK.60_ERR1713408_db8	ZAF.39_ERR1713409_db8	ECU.14_ERR1713352_db8	NZL.56_ERR1713382_db8	TZA.15_ERR1713396_db8	TGO.44_ERR1713394_db8	USA.74h_ERR1713405_db8	VNM.48_ERR1713407_db8
246144	Enterococcus italicus	species	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	7	0	2	0	0	0	0	0	1	0	1	0
1002339	Psychrobacter sp. 1501(2011)	species	1	2	1	1	0	2	1	1	0	1	0	1	1	1	1	1	0	2	0	10	0	0	1	1	1	2	6	0	2	1	0	1	11	1	2	1	1	0	0	0	1	13	1	2	1	1	62	3	1	1	0	0	2	4	186	1	2	0	1	2	3	1	4	0	2	27	18	2	1	84	2	1	1	1	1	1	1	1	1	28
1473216	Senegalimassilia anaerobia	species	1	0	2	1	0	0	1	1	0	1	5	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	3	7	1	0	1	1	1	1	4	0	2	3	1	7	0	2	3	1	5	2	6	2	0	0	1	18	5	3	2	1	1	4	2	1	0	0	2	1	1	2	3	1	2	3	2	3	0	0	2	0	2	0
78120	Succinispira mobilis	species	1	2	3	5	0	0	2	0	2	1	2	7	4	2	1	1	0	2	2	57	1	2	0	3	0	2	2	1	12	11	1	1	4	1	1	1	1	0	3	2	2	8	2	1	20	3	8	1	6	2	0	2	0	11	22	94	5	4	2	1	1	5	1	1	0	11	0	4	1	10	1	2	2	1	1	0	5	0	38	1
491919	Brachymonas chironomi	species	1	3	1	13	0	0	1	1	1	2	10	1	14	2	0	0	0	2	1	11	0	0	2	1	0	0	0	2	71	0	1	2	3	1	2	2	1	0	1	2	1	35	3	0	53	6	1	4	75	3	1	4	1	50	43	30	24	2	1	5	2	2	1	0	0	1	1	0	1	19	6	4	2	4	2	1	19	1	2	1
28220	Brachymonas denitrificans	species	1	1	4	28	0	0	1	1	1	2	7	1	4	1	0	1	1	1	0	1	0	6	16	8	0	1	1	1	350	2	1	1	1	2	2	1	0	2	2	35	2	26	109	1	23	4	5	2	491	3	1	1	7	1	170	10	1	3	0	2	2	5	1	1	1	1	1	2	2	291	11	4	1	13	1	1	5	2	1	13
876	Desulfovibrio desulfuricans	species	2	0	1	6	0	0	3	0	2	1	5	3	2	3	1	0	1	1	2	5	0	1	1	5	0	1	4	2	9	43	1	1	2	9	1	2	4	0	5	17	1	5	1	1	4	1	39	1	4	2	0	2	6	0	20	15	3	4	2	3	2	5	0	1	0	11	4	6	3	30	8	5	1	2	0	1	9	7	15	3
1345	Streptococcus ferus	species	3	0	8	1	0	0	1	0	0	2	5	0	8	1	0	0	0	0	0	0	0	5	14	0	0	0	0	1	12	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	3	0	0	0	2	0	0	0	2	0	0	2	15	0	0	3	0	4	0	0	0	5	0	0	0	0	6	0	0	39	0	0	26	0	0	0
114652	Streptococcus orisratti	species	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	6	0	6	0	0	139	0	0	0	0	0	3	0	0	0
101689	Phycicoccus elongatus	species	1	2	3	1	1	0	0	1	0	4	3	0	0	0	1	0	1	2	0	1	0	2	2	13	0	0	1	1	3	1	131	3	1	2	5	2	2	0	0	2	4	1	0	0	3	1	1	1	7	2	1	2	1	10	2	1	1	1	1	6	3	0	0	1	2	3	3	1	2	40	1	1	0	1	1	1	4	0	2	0
1262796	Clostridium sp. CAG:343	species	4	4	4	4	1	2	8	12	11	19	2	4	3	8	4	4	4	8	18	6	1	5	3	20	0	3	2	35	6	4	13	7	10	3	19	25	61	2	27	11	2	14	0	19	13	10	1	19	17	22	5	10	3	49	4	10	14	9	40	71	17	54	2	2	9	7	5	5	10	9	9	4	16	14	3	2	9	2	10	0
1262811	Clostridium sp. CAG:465	species	1	0	2	4	0	0	2	3	2	3	1	2	1	2	1	0	1	3	3	2	0	2	0	14	0	2	1	4	5	5	4	2	9	3	2	4	9	0	3	8	0	7	0	4	10	9	1	11	9	1	1	1	4	36	6	15	5	3	16	14	2	6	1	0	0	3	2	1	2	3	10	4	6	16	1	2	6	1	2	0
1262833	Clostridium sp. CAG:710	species	1	0	2	2	0	0	1	1	2	3	2	0	4	1	1	0	2	3	3	3	0	2	1	5	0	0	0	4	1	1	1	2	7	2	1	3	7	0	3	3	0	5	0	1	5	5	0	8	1	1	1	1	2	14	2	20	12	1	3	9	2	5	1	1	1	1	2	0	1	3	2	3	12	5	0	1	3	2	2	0
1262840	Clostridium sp. CAG:793	species	1	0	0	0	0	0	0	1	2	1	0	0	2	0	1	0	0	0	2	2	0	1	0	2	0	0	0	2	0	0	1	0	1	0	1	3	9	0	4	0	0	1	0	2	2	1	0	1	0	2	2	1	0	3	0	2	1	1	2	5	2	2	1	0	1	1	0	0	0	1	1	0	2	1	0	1	0	0	1	0
