herramienta	muestra	Aitchison	JSD	BrayCurtis	Spearman	F1
kaiju_db5	BWA.19	131.95512567285033	0.2130293366056475	0.5112372938142405	0.2652878019076016	0.5414767547857794
kaiju_db5	CAN.22	119.97909441700564	0.19147752075316254	0.4603231767555463	0.2675963317223912	0.5644970414201184
kaiju_db5	CAN.22a	123.17134065484382	0.18100061086516206	0.4554463554402469	0.2897903157635722	0.5184251968503937
kaiju_db5	CAN.22b	107.58920390138131	0.18456150844808583	0.4511854717518753	0.2734472687198579	0.5650623885918004
kaiju_db5	CAN.22c	124.25238168901916	0.21961920944497362	0.500057990077667	0.2841895810763815	0.5518072289156627
kaiju_db5	CHE.67	120.04652068322856	0.1726570268237192	0.4509722072748682	0.2723161555507158	0.5605743344301526
kaiju_db5	CHN.64	142.95023657729573	0.2675260540372069	0.5974246725590149	0.2190923422418071	0.5593869731800766
kaiju_db5	CIV.13	121.00500192212212	0.20274367798973914	0.4872498888412204	0.2694092889600724	0.5572405590246804
kaiju_db5	COL.2	130.98194631430727	0.23886594664617095	0.5203526967432519	0.24749167062661176	0.5180533751962323
kaiju_db5	CZE.23	115.98910046717012	0.21223744797536467	0.49748876836249445	0.2835761861541275	0.5553887721404983
kaiju_db5	DEU.27	118.93931736266401	0.17816704213274243	0.43796207688568123	0.2811647063794058	0.5507683037059355
kaiju_db5	DNK.71_RA	117.24795003139583	0.18459353579971938	0.4768555396628018	0.2726961848027726	0.5592163846838825
kaiju_db5	DNK.71_RD	108.66487068890903	0.166537119648954	0.424669239395609	0.2844246070043225	0.5581395348837209
kaiju_db5	DNK.71_RL	116.26957506195131	0.1743434912257063	0.44207622776605726	0.28656591101226436	0.5560240963855422
kaiju_db5	ECU.14	77.30183185335832	0.07606172356740294	0.30372862545780616	0.3343475392094668	0.5125756128621458
kaiju_db5	ECU.14a	133.22337516268323	0.2223770800263381	0.4987756563173482	0.2542022549245037	0.548854041013269
kaiju_db5	ESP.75	119.69130753580448	0.20063504594028508	0.4551129826384569	0.23427503712286915	0.562481709101551
kaiju_db5	ETH.24	107.57707213183136	0.14595017986309855	0.38175366816362455	0.2884689660708878	0.5418448381185095
kaiju_db5	FIN.25	115.81245739279872	0.18306972382888587	0.45814485639440206	0.28761438595630434	0.5574954846478025
kaiju_db5	GEO.59	71.85071994737383	0.07801735550042811	0.29160452658891817	0.33918204069932156	0.4969025105966743
kaiju_db5	GHA.4	144.43896856876722	0.3143699101127161	0.6595843081238963	0.20517576921904082	0.5463326290371264
kaiju_db5	HRV.68	109.02434590204902	0.14964757795979836	0.40142694922748745	0.2947020384299548	0.5418960244648318
kaiju_db5	HUN.61	134.23874918275928	0.2312585903515761	0.5260420378673294	0.27990172289699566	0.4761277576555812
kaiju_db5	IND.11	122.25712459479027	0.21092801032966296	0.4945663137506494	0.2515186070126899	0.5614973262032086
kaiju_db5	IRL.69	95.86955234052913	0.09952223986553517	0.2963962489114531	0.3148598466503592	0.539119804400978
kaiju_db5	IRN.12	101.17277185647112	0.19561431208412206	0.4636198599278161	0.30372189296329993	0.5337858685590867
kaiju_db5	ISL.28	95.44048307174899	0.10643659571121863	0.3119195476639532	0.2990545498638666	0.5387226164763962
