sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
POL.36,ERR1713383,ILLUMINA,00-reads/ERR1713383_R1.fastq.gz,00-reads/ERR1713383_R2.fastq.gz,
PAK.7,ERR1713384,ILLUMINA,00-reads/ERR1713384_R1.fastq.gz,00-reads/ERR1713384_R2.fastq.gz,
PER.35,ERR1713385,ILLUMINA,00-reads/ERR1713385_R1.fastq.gz,00-reads/ERR1713385_R2.fastq.gz,
SEN.8,ERR1713386,ILLUMINA,00-reads/ERR1713386_R1.fastq.gz,00-reads/ERR1713386_R2.fastq.gz,
SGP.52,ERR1713387,ILLUMINA,00-reads/ERR1713387_R1.fastq.gz,00-reads/ERR1713387_R2.fastq.gz,
SRB.37,ERR1713388,ILLUMINA,00-reads/ERR1713388_R1.fastq.gz,00-reads/ERR1713388_R2.fastq.gz,
SVK.9,ERR1713389,ILLUMINA,00-reads/ERR1713389_R1.fastq.gz,00-reads/ERR1713389_R2.fastq.gz,
SVN.38,ERR1713390,ILLUMINA,00-reads/ERR1713390_R1.fastq.gz,00-reads/ERR1713390_R2.fastq.gz,
SWE.41,ERR1713391,ILLUMINA,00-reads/ERR1713391_R1.fastq.gz,00-reads/ERR1713391_R2.fastq.gz,
SWE.41a,ERR1713392,ILLUMINA,00-reads/ERR1713392_R1.fastq.gz,00-reads/ERR1713392_R2.fastq.gz,
TCD.1,ERR1713393,ILLUMINA,00-reads/ERR1713393_R1.fastq.gz,00-reads/ERR1713393_R2.fastq.gz,
TGO.44,ERR1713394,ILLUMINA,00-reads/ERR1713394_R1.fastq.gz,00-reads/ERR1713394_R2.fastq.gz,
TUR.46,ERR1713395,ILLUMINA,00-reads/ERR1713395_R1.fastq.gz,00-reads/ERR1713395_R2.fastq.gz,
TZA.15,ERR1713396,ILLUMINA,00-reads/ERR1713396_R1.fastq.gz,00-reads/ERR1713396_R2.fastq.gz,
USA.74,ERR1713397,ILLUMINA,00-reads/ERR1713397_R1.fastq.gz,00-reads/ERR1713397_R2.fastq.gz,
USA.74a,ERR1713398,ILLUMINA,00-reads/ERR1713398_R1.fastq.gz,00-reads/ERR1713398_R2.fastq.gz,
USA.74b,ERR1713399,ILLUMINA,00-reads/ERR1713399_R1.fastq.gz,00-reads/ERR1713399_R2.fastq.gz,
USA.74c,ERR1713400,ILLUMINA,00-reads/ERR1713400_R1.fastq.gz,00-reads/ERR1713400_R2.fastq.gz,
USA.74d,ERR1713401,ILLUMINA,00-reads/ERR1713401_R1.fastq.gz,00-reads/ERR1713401_R2.fastq.gz,
USA.74e,ERR1713402,ILLUMINA,00-reads/ERR1713402_R1.fastq.gz,00-reads/ERR1713402_R2.fastq.gz,
USA.74f,ERR1713403,ILLUMINA,00-reads/ERR1713403_R1.fastq.gz,00-reads/ERR1713403_R2.fastq.gz,
USA.74g,ERR1713404,ILLUMINA,00-reads/ERR1713404_R1.fastq.gz,00-reads/ERR1713404_R2.fastq.gz,
USA.74h,ERR1713405,ILLUMINA,00-reads/ERR1713405_R1.fastq.gz,00-reads/ERR1713405_R2.fastq.gz,
USA.74i,ERR1713406,ILLUMINA,00-reads/ERR1713406_R1.fastq.gz,00-reads/ERR1713406_R2.fastq.gz,
VNM.48,ERR1713407,ILLUMINA,00-reads/ERR1713407_R1.fastq.gz,00-reads/ERR1713407_R2.fastq.gz,
XK.60,ERR1713408,ILLUMINA,00-reads/ERR1713408_R1.fastq.gz,00-reads/ERR1713408_R2.fastq.gz,
ZAF.39,ERR1713409,ILLUMINA,00-reads/ERR1713409_R1.fastq.gz,00-reads/ERR1713409_R2.fastq.gz,
ZMB.49,ERR1713410,ILLUMINA,00-reads/ERR1713410_R1.fastq.gz,00-reads/ERR1713410_R2.fastq.gz,
ZMB.49b,ERR1713411,ILLUMINA,00-reads/ERR1713411_R1.fastq.gz,00-reads/ERR1713411_R2.fastq.gz,
